EventName,CharacterName,Text,Address
설거지하는 제드,제드,(설거지하는중),TempZed
-,제드,집나와서 무작정 킨코우 수련원에 온지 2년…\n나는 아직도 설거지를 한다. \n오늘도 설거지는 힘들구나… 흑흑,TempZed
-,제드,나는 언제쯤 킨코우 수련생이 될 수 있을까? 열심히 하면 되겠지?,TempZed
-,제드,"(밤이 되고, 고보스는 다른 사람들이 자는 사이 몰래 수련을 한다.)",TempZed
-,제드,개빡쎄네 수련… 이제 자야지 (고보스는 잠이든다),TempZed
End,,,
쿠쇼 사부님과의 만남,제드,(또 설거지중),TempZed
-,쿠쇼,창백한 말라깽이 녀석! 넌 이름이 뭐냐?,Kusho_normal
-,제드,(속으로 기뻐하며) 저는 고보스라고 해요… ,TempZed
-,쿠쇼,이리와서 내 아들 쉔과 대련하거라. ,Kusho_normal
-,쉔,"어이 허접, 준비됐나?",TempShen
-,제드,"응, 준비됐어!",TempZed
-,쉔,고릴라 펀치!,TempShen
-,제드,으어엌,TempZed
-,쉔,고릴라 킥!,TempShen
-,제드,꺄아악,TempZed
-,제드,(몇시간동안 털리기를 반복하지만 계속 싸운다.) \n아직 난 쌩쌩하다! 내 발차기를 받아라!,TempZed
-,쉔,(이정도면 한대 맞아주는 척 하자)우어억,TempShen
-,쿠쇼,근성이 엄청나구나. 널 내 제자로 삼으마.,Kusho_normal
-,제드,요시!,TempZed
End,,,
10대 1뜨는 제드,제드,(6년 후) 어이 쉔! 이제 나도 쎄졌다!,TempZed
-,쉔 ,킨코우 수련생 10명 쓰러뜨리면 나랑 맞먹는 1짱으로 인정해주지.,TempShen
-,킨코우 수련생,근육만 생겼지 개 약해보이노! 덤벼라 고보스!,TempKayn
-,제드,ㅋㅋ 허접쉑들 덤벼라!(튜토리얼 진입),TempZed
-,제드,(싸움 이기고 레벨업함) 이제 나는 짱짱쎄다!,TempZed
-,쉔,ㅇㅈ,TempShen
End,,,
